"","Nimi","Punktid15","Punktid16","Punktid17","Punktid18","pkokku"
"347","PROGGE (2011)","3","16","9","28",56
"726","CEDAR UNO (2013)","0","0","27","29",56
"888","ILORD (2013)","0","0","0","55.4",55.4
"121","CANARYS (2005)","31.1","22","1","0",54.1
"90","FEE (2001)","54","0","0","0",54
"173","ADMIRAL AMERIGO (2007)","16","34","4","0",54
"745","EDWINA (2012)","0","0","19","35",54
"245","ROXANNE (2006)","7.5","38.1","7","1",53.6
"297","B CHEITAN (2011)","4","1","10","38.5",53.5
"250","GG FELICIA (2010)","7","8","4","34",53
"889","B C QASTANIA (2011)","0","0","0","52.8",52.8
"200","TURBO (2007)","12","0","4","36",52
"725","VICKY (2012)","0","0","30","22",52
"890","ESPRIT DU BUISSON Z (2012)","0","0","0","51.8",51.8
"242","IIBIS KORALL (2009)","7.5","6","9","29",51.5
"625","JO JO MINKA (2009)","0","3","17","31",51
"891","COOKIE (2008)","0","0","0","50.75",50.75
"93","PRESTON (1998)","50.5","0","0","0",50.5
"273","WIPLALA S (1998)","6","7","26","11",50
"336","MARTELL XX (2006)","3","47","0","0",50
"711","SEATTLE DAVIER (2006)","0","0","50","0",50
"222","BEIRUT (2009)","9","3","28","9.5",49.5
"649","LERMINA (2011)","0","2","47.5","0",49.5
"843","QUALITY PAUL (2012)","0","0","2","47.2",49.2
"536","DUNKAN (2005)","0","42","7","0",49
"573","ROSE (2006)","0","15","34","0",49
"712","ONE MAN SHOW (2005)","0","0","49","0",49
"892","ZAHRAZAD (2013)","0","0","0","49",49
"489","LEGENDARY INVINCIBLE KNIGHT (2010)","0.5","27","10","11",48.5
"681","LANDORA (2011)","0","1","22","25.4",48.4
"95","CAMEJA (2001)","48","0","0","0",48
"160","OLMAR (2002)","20","19","8","1",48
"680","LAMBORGHINI (2012)","0","1","5","42",48
"770","BONNE AMIE (2013)","0","0","10.6","37",47.6
"96","WHISPER R (2003)","47.5","0","0","0",47.5
"365","ANIKI W (2005)","2","45","0","0",47
"179","BREEZE (2008)","15","16.5","4","11",46.5
"98","STACANDRA (2003)","46","0","0","0",46
"99","STOKBROENS CAMARO-STAR (2002)","46","0","0","0",46
"586","ENDEAVOUR MONDRIA'S (2009)","0","10","36","0",46
"787","VENGANZA (2012)","0","0","8.2","37",45.2
"162","ARTI (1998)","19","22","4","0",45
"210","VAINQUEUR (1998)","11","29","4","0",44
"227","VERDETTEN (2011)","9","8","6","21",44
"834","E (2009)","0","0","2","42",44
"893","COLA (2009)","0","0","0","44",44
"111","SUNSHINE (2008)","38.5","2","3","0",43.5
"796","VIGON (2013)","0","0","7.2","36",43.2
"894","COLUMBO (2008)","0","0","0","43",43
"716","VANINE H (2002)","0","0","41.5","1",42.5
"103","VULCANO (2009)","42","0","0","0",42
"556","LOGO (2001)","0","21","18","3",42
"823","AK LORD FRONHOF (2006)","0","0","3","39",42
"895","BARBOLETTA (2005)","0","0","0","42",42
"896","EKLUND (2013)","0","0","0","42",42
"897","JACKSON VD DOORNDONKHOEVE (2009)","0","0","0","42",42
"749","MORLY (2013, SP)","0","0","16.8","25",41.8
"176","ELIUMI (2005)","16","9","12","4",41
"290","CROSSER (2007)","4.5","20.5","1","15",41
"545","PILORENZ Z (2003)","0","30","11","0",41
"106","FRYC (2003)","40.5","0","0","0",40.5
"595","NINETY-NINE (2012)","0","7.2","21","12",40.2
"147","ZANDRO (2008)","24","0","12","4",40
"776","BIG GIRL (2007)","0","0","9","31",40
"582","CHARLY (2011)","0","12","12.8","15",39.8
"898","EXTREME (2013)","0","0","0","39.8",39.8
"551","HOBBIT K (2012)","0","22.8","16","0",38.8
"750","NATKINGKEY SR (2013)","0","0","16.8","22",38.8
"578","VERDINUS (2012)","0","13.6","20","4.8",38.4
"366","BRIDNEY (2006)","2","2","0","34.2",38.2
"151","ORIENT (2003)","22","14","2","0",38
"214","HERAKLES (2001)","10","14","10","4",38
"215","KAID (2010)","10","4","8","16",38
"308","GRACIJA (2004)","4","33","0","1",38
"373","CLIPPER (2009)","2","36","0","0",38
"256","APRIL (2001)","6.5","31","0","0",37.5
"148","CALLEDIUS (2005)","23","13","0","1",37
"237","GASTONS (2009)","8","16","13","0",37
"653","SAMURAI (2011)","0","2","22","13",37
"542","LOTUS DES VERNIERES X (1999)","0","32.75","4","0",36.75
"116","PUTTERCUP ATAMAN (2009)","36","0","0","0",36
"606","RUBIINA (2008)","0","6","25","5",36
"719","OPADI (2011)","0","0","36","0",36
"873","SITSIILIA (2012)","0","0","1","35",36
"775","VINCENT (2013)","0","0","9.6","26",35.6
"899","NATHAN VAN TURBEEK Z (2012)","0","0","0","35.5",35.5
"119","BENJAMIN (2010)","32","3","0","0",35
"341","OLYMPOS (2011)","3","30","2","0",35
"348","RAPHAELL (2011)","3","32","0","0",35
"418","LIMONA (2009)","1.5","19","7","7.5",35
"720","CAZPAR (2012)","0","0","35","0",35
"207","QUINTENDER AVOS Z (2008)","11","15.5","8","0",34.5
"546","WANNABE (2009)","0","26.2","1","7",34.2
"117","WALTER S (2007)","34","0","0","0",34
"185","PICODELLAS (2006)","14","17","0","3",34
"303","CAVALIER (2011)","4","13","16","1",34
"374","CONCORDIA (2008)","2","0","22","10",34
"449","ORFIX (2008)","1","2","7","24",34
"826","KAZAI (2010)","0","0","3","31",34
"298","BEAUJANGELS (2006)","4","27.8","2","0",33.8
"149","CHANEL (2010)","22","9","2","0",33
"225","ORDERLY QUEEN (2007)","9","18","6","0",33
"570","LORD (2011)","0","16","17","0",33
