"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"IR";"Ingersoll-Rand PLC";"Industrials";80.37;0.36;52804;5.64;1.6
"IRM";"Iron Mountain Incorporated";"Real Estate";36.98;0.49;61282;0.26;2.2
"ISRG";"Intuitive Surgical Inc.";"Health Care";700.91;-0.25;13693;18.73;NA
"ITW";"Illinois Tool Works";"Industrials";127.2456;0.0988;24508;5.7;2.6
"IVZ";"Invesco Ltd.";"Financials";30.89;1.21;102069;2.06;1.12
"JBHT";"J. B. Hunt Transport Services";"Industrials";98.4;0.21;14822;3.81;0.92
"JCI";"Johnson Controls International";"Industrials";40.991;-0.046;167834;-1.341;1.12
"JEC";"Jacobs Engineering Group";"Industrials";56.32;-0.55;67967;1.73;0.6
"JNJ";"Johnson & Johnson";"Health Care";113.94;0.48;356317;5.93;3.2
"JNPR";"Juniper Networks";"Information Technology";27.585;1.267;222305;1.55;0.4
"JPM";"JPMorgan Chase & Co.";"Financials";86.38;0.49;841670;6.19;1.92
"JWN";"Nordstrom";"Consumer Discretionary";45.595;2.392;424332;1.879;1.48
"K";"Kellogg Co.";"Consumer Staples";75.93;3.32;304260;1.99;2.08
"KEY";"KeyCorp";"Financials";17.925;0.533;456163;0.801;0.34
"KHC";"Kraft Heinz Co";"Consumer Staples";89.76;0.64;172829;2.27;2.4
"KIM";"Kimco Realty";"Real Estate";24.76;0.61;168612;0.79;1.08
"KLAC";"KLA-Tencor Corp.";"Information Technology";86.82;-0.06;31799;5.5;2.16
"KMB";"Kimberly-Clark";"Consumer Staples";123.18;0.2;92631;5.99;3.88
"KMI";"Kinder Morgan";"Energy";22.5;0.4;561842;0.25;0.5
"KMX";"Carmax Inc";"Consumer Discretionary";66.73;-0.04;38554;3.16;NA
"KO";"Coca Cola Company";"Consumer Staples";40.73;-3.07;4364887;1.65;1.4
"KORS";"Michael Kors Holdings";"Consumer Discretionary";38.4676;1.578;367491;4.387;NA
"KR";"Kroger Co.";"Consumer Staples";32.6;-0.73;645041;2.08;0.48
"KSS";"Kohl's Corp.";"Consumer Discretionary";41.65;1.98;335769;3.29;2
"KSU";"Kansas City Southern";"Industrials";85.61;0.65;55222;4.43;1.32
"L";"Loews Corp.";"Financials";46.19;-0.13;46900;0.48;0.25
"LB";"L Brands Inc.";"Consumer Discretionary";58.87;0.36;139829;3.97;2.4
"LEG";"Leggett & Platt";"Industrials";48.15;-0.08;36736;2.76;1.36
"LEN";"Lennar Corp.";"Consumer Discretionary";44.75;-0.97;139058;3.93;0.16
"LH";"Laboratory Corp. of America Holding";"Health Care";131.72;0.17;35931;6.31;0
"LKQ";"LKQ Corporation";"Consumer Discretionary";30.74;0.33;30359;1.53;NA
"LLL";"L-3 Communications Holdings";"Industrials";160.79;0.37;7190;9.01;2.8
"LLTC";"Linear Technology Corp.";"Information Technology";63.73;-0.16;35223;2.04;1.32
"LLY";"Lilly (Eli) & Co.";"Health Care";78.075;-0.045;119490;2.578;2.08
"LMT";"Lockheed Martin Corp.";"Industrials";257.377;0.248;39231;17.491;7.28
"LNC";"Lincoln National";"Financials";69.27;1.33;50914;5.03;1.16
"LNT";"Alliant Energy Corp";"Utilities";38.05;-0.26;17694;1.51;1.26
"LOW";"Lowe's Cos.";"Consumer Discretionary";72.77;0.44;243728;2.72;1.4
"LRCX";"Lam Research";"Information Technology";116.07;0.17;70009;5.58;1.8
"LUK";"Leucadia National Corp.";"Financials";23.51;0.38;28963;0.12;0.25
"LUV";"Southwest Airlines";"Industrials";53.09;0.32;245084;3.55;0.4
"LVLT";"Level 3 Communications";"Telecommunications Services";57.01;-0.94;218443;10.34;NA
"LYB";"LyondellBasell";"Materials";92.51;0.93;235177;9.13;3.4
"M";"Macy's Inc.";"Consumer Discretionary";32.12;0.44;517086;2.2;1.51
"MA";"Mastercard Inc.";"Information Technology";107.01;0.27;137293;3.69;0.88
"MAA";"Mid-America Apartments";"Real Estate";97.81;0.08;15208;2.69;3.48
"MAC";"Macerich";"Real Estate";67.53;0.51;41392;5.97;2.84
"MAR";"Marriott Int'l.";"Consumer Discretionary";86.44;0.09;51070;2.81;1.2
"MAS";"Masco Corp.";"Industrials";31.99;-5.33;1462331;1.39;0.4
"MAT";"Mattel Inc.";"Consumer Discretionary";26.11;0.62;491241;0.92;1.52
"MCD";"McDonald's Corp.";"Consumer Discretionary";124.87;0.16;121376;5.44;3.76
"MCHP";"Microchip Technology";"Information Technology";72.426;-1.862;979382;0.23;1.44
"MCK";"McKesson Corp.";"Health Care";140.16;-0.55;70318;8.43;1.12
"MCO";"Moody's Corp";"Financials";106.86;0.04;40941;4.64;1.52
"MDLZ";"Mondelez International";"Consumer Staples";44.85;0.85;904198;0.52;0.76
"MDT";"Medtronic plc";"Health Care";75.64;0.05;171821;3;1.72
"MET";"MetLife Inc.";"Financials";51.76;0.72;250975;0.63;1.6
"MHK";"Mohawk Industries";"Consumer Discretionary";211.589;-1.173;27555;49.895;NA
"MJN";"Mead Johnson";"Consumer Staples";84.08;0.14;296374;2.92;1.65
"MKC";"McCormick & Co.";"Consumer Staples";96.63;0.13;29091;3.69;1.88
"MLM";"Martin Marietta Materials";"Materials";224.99;-0.56;11598;6.34;1.68
"MMC";"Marsh & McLennan";"Financials";70.67;0.37;109084;3.38;1.36
"MMM";"3M Company";"Industrials";177.21;0.08;67332;8.16;4.44
"MNK";"Mallinckrodt Plc";"Health Care";50.12;1.42;55517;5.78;NA
"MNST";"Monster Beverage";"Consumer Staples";43.51;-0.37;72522;1.11;NA
"MO";"Altria Group Inc";"Consumer Staples";72.11;-0.06;315830;7.28;2.44
"MON";"Monsanto Co.";"Materials";107.4685;0.1197;63748;3.647;2.16
"MOS";"The Mosaic Company";"Materials";32.43;0.68;138506;1.25;1.1
"MPC";"Marathon Petroleum";"Energy";49.48;0.73;211510;2.21;1.44
"MRK";"Merck & Co.";"Health Care";64.46;0.22;318283;2.04;1.88
"MRO";"Marathon Oil Corp.";"Energy";15.98;0.63;1013808;-2.01;0.2
"MS";"Morgan Stanley";"Financials";44.14;0.52;717786;2.92;0.8
"MSFT";"Microsoft Corp.";"Information Technology";63.54;0.32;1459144;2.12;1.56
"MSI";"Motorola Solutions Inc.";"Information Technology";78.19;-0.08;48372;3.24;1.88
"MTB";"M&T Bank Corp.";"Financials";163.01;0.13;34481;7.78;2.8
"MTD";"Mettler Toledo";"Health Care";462.18;0.18;4641;14.22;NA
"MU";"Micron Technology";"Information Technology";24.705;2.045;3973497;-0.3;0
"MUR";"Murphy Oil";"Energy";28.14;0.43;156548;-1.6;1
"MYL";"Mylan N.V.";"Health Care";39.41;0.56;324941;0.5;0
"NAVI";"Navient";"Financials";15.35;0.39;41459;2.12;0.64
"NBL";"Noble Energy Inc";"Energy";38.63;0.99;159146;-6.44;0.4
"NDAQ";"NASDAQ OMX Group";"Financials";69.11;0.33;25481;0.64;1.28
"NEE";"NextEra Energy";"Utilities";125.62;-0.54;53677;6.25;3.48
